
/media/cal314-1/9E044F59044F3415/Marcin/noisy_labels/Dataset/SegSperm/train
/media/cal314-1/9E044F59044F3415/Marcin/noisy_labels/Dataset/SegSperm/test_small
GPU dostępne: NVIDIA GeForce RTX 3090
Epoch 164, Train Loss: 0.004836687282659113, Train Iou: 0.04053537168129051, Validation Loss: 0.18204323202371597, Validation IOU: 0.32367553623874035
Epoch 165, Train Loss: 0.004842578829266131, Train Iou: 0.04125917012699916, Validation Loss: 0.20378930121660233, Validation IOU: 0.30961226783423706
Epoch 166, Train Loss: 0.004830287396907806, Train Iou: 0.04192641196826728, Validation Loss: 0.12570426985621452, Validation IOU: 0.2549844585115421
Epoch 167, Train Loss: 0.0047264615772292014, Train Iou: 0.03898245886134423, Validation Loss: 0.11272035352885723, Validation IOU: 0.2515156185321402
Epoch 168, Train Loss: 0.004700339050032198, Train Iou: 0.040479943390915596, Validation Loss: 0.16779103875160217, Validation IOU: 0.31620606945676505
Epoch 169, Train Loss: 0.004630062798969448, Train Iou: 0.03813311155225531, Validation Loss: 0.13034578412771225, Validation IOU: 0.2842320310092288
Epoch 170, Train Loss: 0.004715005774050951, Train Iou: 0.04196523141140023, Validation Loss: 0.13497354462742805, Validation IOU: 0.2945893105480734
Epoch 171, Train Loss: 0.004713489976711571, Train Iou: 0.040997965736793256, Validation Loss: 0.12377420626580715, Validation IOU: 0.24702212656270855
Epoch 172, Train Loss: 0.004640797013416886, Train Iou: 0.039963212669851395, Validation Loss: 0.14090873301029205, Validation IOU: 0.2713184160997017
Epoch 173, Train Loss: 0.004559945105575025, Train Iou: 0.0390791573001019, Validation Loss: 0.1230369433760643, Validation IOU: 0.2470567475246372
Epoch 174, Train Loss: 0.00452198765706271, Train Iou: 0.03934677793647452, Validation Loss: 0.12994270585477352, Validation IOU: 0.25570569285655587
Epoch 175, Train Loss: 0.004441847046837211, Train Iou: 0.038284213135405795, Validation Loss: 0.23435137420892715, Validation IOU: 0.31644439660057605
Epoch 176, Train Loss: 0.004465232288930565, Train Iou: 0.03812664305311883, Validation Loss: 0.13250435516238213, Validation IOU: 0.2570446034535436
Epoch 177, Train Loss: 0.004459412023425102, Train Iou: 0.03936176507040237, Validation Loss: 0.23472550511360168, Validation IOU: 0.31826415990318263
Epoch 178, Train Loss: 0.004380841378588229, Train Iou: 0.038888816121962363, Validation Loss: 0.1936054304242134, Validation IOU: 0.3622983818460355
Epoch 179, Train Loss: 0.0043237189413048325, Train Iou: 0.037278742858219874, Validation Loss: 0.13120641559362411, Validation IOU: 0.2748743971905654
